ID,model_ID,model,B_0,B_1,B_2,B_3,N_max,N_0,r_max,t_lag,AIC/AIC_c,BIC,R_2
22,4,logistic,0.0,0.0,0.0,0.0,3529.143316641406,0.24417243387036522,0.19456799806496008,0.0,150.9485597894324,150.15890016140858,0.7851841090664025
22,5,gompertz,0.0,0.0,0.0,0.0,3.5439099767483153,0.1709587607931668,0.27534150142657654,14.607651872488342,142.40879676187032,137.92172222684056,0.9490166315620872
22,6,baranyi,0.0,0.0,0.0,0.0,133.70640494929873,-0.03311926887473407,0.20246492427583954,9.36649969062594,164.72146535284344,160.23439081781368,0.526447971455358
22,7,buchanan,0.0,0.0,0.0,0.0,3.13216277154269,0.15883419975458196,0.22670172614757078,11.831750927679725,129.4580921944918,124.97101765946203,0.9860441378032642
23,1,linear,-0.5694821847106513,0.07468572147546974,0.0,0.0,0.0,0.0,0.0,0.0,106.19056526617963,106.02888989121914,0.610691883361844
23,2,quadratic,-1.2778011286949806,0.1318554654851995,-0.0009765829940225229,0.0,0.0,0.0,0.0,0.0,104.69672928669993,101.01449545341927,0.8400378904853366
23,3,cubic,0.008674367256821077,-0.033625766626364274,0.00525347860315888,-7.077862471546774e-05,0.0,0.0,0.0,0.0,90.97086057115928,80.03473494622513,0.9909977477463856
23,4,logistic,0.0,0.0,0.0,0.0,647.3121968456742,0.11913269715795097,0.2133262036610965,0.0,95.21906810434109,91.53683427106043,0.950872961349659
23,5,gompertz,0.0,0.0,0.0,0.0,3.10500145519672,-0.030404983007789738,0.2269939007898265,10.80651806766106,108.7108256977282,97.77470007279405,0.9173899594514842
23,6,baranyi,0.0,0.0,0.0,0.0,2.7702685284479247,-0.20700761263157155,0.23104125241996679,9.383410707267835,100.46226168427216,89.52613605933801,0.9705174073478966
23,7,buchanan,0.0,0.0,0.0,0.0,2.6600569646208805,-1.1264844661852822,0.1960379475417679,-3.9071973503188016,91.19134695093345,80.2552213259993,0.9907436595169484
24,1,linear,-0.5135265511748303,0.06650317683103218,0.0,0.0,0.0,0.0,0.0,0.0,97.52081463309635,97.35913925813585,0.822649980140948
24,2,quadratic,-0.12035003247410078,0.024063758018169727,0.0008295789725395969,0.0,0.0,0.0,0.0,0.0,106.73347402649637,103.0512401932157,0.7131127436907971
24,3,cubic,0.39112021856332196,-0.10980965557791773,0.007609133951582846,-9.071776212133359e-05,0.0,0.0,0.0,0.0,78.0570598094501,67.12093418451595,0.9975207279721207
24,4,logistic,0.0,0.0,0.0,0.0,479323214.0922788,0.30653026714023945,0.15312923585747137,0.0,103.12081626296344,99.43858242968278,0.8226499547693116
